CPU Utilization,Response Time,Class Name
18.5,1,'High'
17.545,1,'High'
17.6,1,'High'
19.636,1.273,'High'
23.818,1,'High'
18.3,1,'High'
28.091,1,'Low'
36.3,1,'Low'
37,1,'Low'
34.2,1,'Low'
34,1,'Low'
32.273,1,'Low'
26.2,1.1,'Low'
20.182,1,'High'
26.091,1.091,'Low'
25,1,'High'
22.636,1.091,'High'
22.1,1,'High'
24,1,'High'
21.636,1,'High'
23.3,1,'High'
18.545,1,'High'
18.1,1,'High'
18.636,1,'High'
17.455,1.091,'High'
17.4,1,'High'
17.455,1,'High'
21.545,1,'High'
22.6,1,'High'
19.091,1.364,'High'
26.909,1,'Low'
22.2,1,'High'
19.091,1,'High'
20.5,1,'High'
19.364,1,'High'
19.182,1,'High'
18.8,1.1,'High'
27.182,1,'Low'
21.364,1,'High'
19.2,1,'High'
20.091,1.091,'High'
28.2,1.1,'Low'
18.818,1.364,'High'
20.2,1,'High'
19.545,1,'High'
20.364,1,'High'
18.1,1,'High'
19.364,1,'High'
17.909,1,'High'
26.3,1,'Low'
18.091,1,'High'
18.4,1,'High'
24.273,1,'High'
25.455,1,'Low'
18,1,'High'
18.273,1,'High'
18.909,1,'High'
18.2,1,'High'
18.364,1,'High'
23.455,1.182,'High'
28.4,1,'Low'
21.818,1,'High'
20.7,1.1,'High'
29.636,1,'Low'
28.364,1.091,'Low'
21.1,1.5,'High'
23.455,1.091,'High'
22.273,1,'High'
17.5,1,'High'
18.545,1.545,'High'
17.7,1,'High'
17.818,1,'High'
17.909,1.273,'High'
17.7,1,'High'
17.727,1,'High'
21.818,1,'High'
23.2,1,'High'
17.273,1,'High'
17.3,1,'High'
19.636,1,'High'
17.727,1,'High'
19,1,'High'
21.273,1.091,'High'
18.273,1.091,'High'
18,1.1,'High'
22.455,1.091,'High'
40.091,1,'Low'
76.9,1,'Very Low'
74.636,1,'Very Low'
61.1,1,'Very Low'
90.182,1,'Very Low'
21.9,1,'High'
19.455,1,'High'
19,1,'High'
19.273,1,'High'
18.364,1,'High'
18.5,1.1,'High'
18.909,1,'High'
19.455,1,'High'
28,1,'Low'
29,1,'Low'
17.7,1,'High'
18.909,1,'High'
21.545,1,'High'
17.8,1,'High'
49.273,1,'Low'
73.273,1,'Very Low'
89.5,1,'Very Low'
93.273,1,'Very Low'
64.3,1,'Very Low'
100,1,'Very Low'
100,1.182,'Very Low'
29.1,1,'Low'
33.273,1,'Low'
37.9,1,'Low'
29.636,1,'Low'
23.2,1,'High'
18.545,1,'High'
18.091,1,'High'
21.6,1,'High'
17,1,'High'
17.818,1,'High'
17.6,1,'High'
21.182,1,'High'
23.5,1,'High'
16.636,1,'High'
19.818,1,'High'
18.4,1,'High'
18.909,1,'High'
22.818,1,'High'
17.7,1,'High'
18.727,1,'High'
17.2,1,'High'
19.818,1,'High'
21.636,1,'High'
20.6,1,'High'
18.364,1,'High'
18.455,1,'High'
18.4,1,'High'
17.455,1,'High'
18,1,'High'
16.2,1,'High'
17.636,1,'High'
17.4,1,'High'
17.909,1,'High'
16.545,1,'High'
17.8,1,'High'
